term_id	cluster	term_name	intersection
1	GO:0001730	1	2'-5'-oligoadenylate synthetase activity	OAS1,OAS2,OAS3,OASL
2	GO:0002250	1	adaptive immune response	ADA,ADCY7,ANXA1,ARID5A,B2M,BTN3A1,C1QBP,CD4,CD40,CD48,CD55,CD74,CRTAM,CTSC,CTSL,CTSS,DCLRE1C,DENND1B,ERAP2,ERCC1,FAM49B,FCER1G,GPR183,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DPA1,HLA-DPB1,HLA-DRA,HLA-DRB1,HLA-E,HLA-F,HMGB1,HRAS,HSPD1,IL1B,IL4I1,IL7R,IRF1,IRF7,JAK2,KLHL6,LAG3,LAMP3,MCOLN1,MICB,MR1,MYD88,MYO1G,NBN,NCKAP1L,NDFIP1,PHB,PRF1,PRKD2,PTPRC,RELB,RIF1,RIPK2,RNF168,RSAD2,SAMSN1,SPN,STAT3,STX7,TAP1,TGFB1,THOC1,TNFAIP3,TNFRSF14,TNFSF13B,UNC93B1,WAS
3	KEGG:05330	1	Allograft rejection	CD40,CD86,FAS,GZMB,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DPA1,HLA-DPB1,HLA-DRA,HLA-DRB1,HLA-E,HLA-F,PRF1
4	WP:WP2328	1	Allograft rejection	CASP3,CASP7,CASP8,CD40,CD55,CD86,CXCL11,FAS,GNLY,GZMB,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DPA1,HLA-DPB1,HLA-DRA,HLA-DRB1,HLA-E,HLA-F,IL1B,IL8,PRF1,STAT1,TGFB1,VIM
5	GO:0001525	1	angiogenesis	ACTG1,ANXA1,ANXA2,BTG1,C1GALT1,CASP8,CCL2,CD40,CLIC4,CXCL10,CXCR4,GLUL,GPX1,HSPB1,IL8,JUN,KLF2,MDK,MIA3,NINJ1,PANK2,PKM,PML,RGCC,RNF213,SAT1,SP100,STAT1,TYMP,WARS,XBP1
6	GO:0003823	1	antigen binding	CD40,CD48,HLA-A,HLA-B,HLA-C,HLA-DPA1,HLA-DPB1,HLA-DRA,HLA-DRB1,HLA-E,HLA-F,IL7R,ITGA4,LAG3,TAP1,TAPBP
7	GO:0019883	1	antigen processing and presentation of endogenous antigen	B2M,CD74,ERAP2,HLA-A,HLA-B,HLA-C,HLA-DRA,HLA-DRB1,HLA-E,HLA-F,TAP1,TAPBP
8	GO:0002483	1	antigen processing and presentation of endogenous peptide antigen	B2M,ERAP2,HLA-A,HLA-B,HLA-C,HLA-DRA,HLA-DRB1,HLA-E,HLA-F,TAP1,TAPBP
9	GO:0140374	1	antiviral innate immune response	CXCL10,DDX58,IFIT1,MX1,OAS1
10	REAC:R-HSA-1169410	1	Antiviral mechanism by IFN-stimulated genes	DDX58,EIF2AK2,EIF4A1,EIF4A2,EIF4E3,HERC5,IFIT1,ISG15,KPNB1,MX1,MX2,NUP62,OAS1,OAS2,OAS3,OASL,RPS27A,STAT1,TRIM25,UBB,UBC,UBE2L6
