term_1	term_2	weight
1	CORUM:1064	GO:0001775	1.0000000
2	CORUM:1064	GO:0002221	1.0000000
3	CORUM:1064	GO:0002224	1.0000000
4	CORUM:1064	GO:0002252	1.0000000
5	CORUM:1064	GO:0002376	1.0000000
6	CORUM:1064	GO:0002682	1.0000000
7	CORUM:1064	GO:0002684	1.0000000
8	CORUM:1064	GO:0002764	1.0000000
9	CORUM:1064	GO:0002831	1.0000000
10	CORUM:1064	GO:0002833	1.0000000
11	CORUM:1064	GO:0003674	1.0000000
12	CORUM:1064	GO:0005515	1.0000000
13	CORUM:1064	GO:0006950	1.0000000
14	CORUM:1064	GO:0006952	1.0000000
15	CORUM:1064	GO:0006954	1.0000000
16	CORUM:1064	GO:0006955	1.0000000
17	CORUM:1064	GO:0007154	1.0000000
18	CORUM:1064	GO:0007165	1.0000000
19	CORUM:1064	GO:0008283	1.0000000
20	CORUM:1064	GO:0009607	1.0000000
21	CORUM:1064	GO:0009966	1.0000000
22	CORUM:1064	GO:0009967	1.0000000
23	CORUM:1064	GO:0010646	1.0000000
24	CORUM:1064	GO:0010647	1.0000000
25	CORUM:1064	GO:0010648	1.0000000
26	CORUM:1064	GO:0016020	1.0000000
27	CORUM:1064	GO:0023051	1.0000000
28	CORUM:1064	GO:0023052	1.0000000
29	CORUM:1064	GO:0023056	1.0000000
30	CORUM:1064	GO:0023057	1.0000000
31	CORUM:1064	GO:0031347	1.0000000
32	CORUM:1064	GO:0031349	1.0000000
33	CORUM:1064	GO:0032101	1.0000000
34	CORUM:1064	GO:0032103	1.0000000
35	CORUM:1064	GO:0034142	1.0000000
36	CORUM:1064	GO:0035556	1.0000000
37	CORUM:1064	GO:0042127	1.0000000
38	CORUM:1064	GO:0042802	1.0000000
39	CORUM:1064	GO:0043207	1.0000000
40	CORUM:1064	GO:0044419	1.0000000
41	CORUM:1064	GO:0045087	1.0000000
42	CORUM:1064	GO:0045088	1.0000000
43	CORUM:1064	GO:0045089	1.0000000
44	CORUM:1064	GO:0045321	1.0000000
45	CORUM:1064	GO:0048518	1.0000000
46	CORUM:1064	GO:0048519	1.0000000
47	CORUM:1064	GO:0048522	1.0000000
48	CORUM:1064	GO:0048523	1.0000000
49	CORUM:1064	GO:0048583	1.0000000
50	CORUM:1064	GO:0048584	1.0000000
51	CORUM:1064	GO:0048585	1.0000000
52	CORUM:1064	GO:0050727	1.0000000
53	CORUM:1064	GO:0050729	1.0000000
54	CORUM:1064	GO:0050776	1.0000000
55	CORUM:1064	GO:0050778	1.0000000
56	CORUM:1064	GO:0050789	1.0000000
57	CORUM:1064	GO:0050794	1.0000000
58	CORUM:1064	GO:0050896	1.0000000
59	CORUM:1064	GO:0051707	1.0000000
60	CORUM:1064	GO:0051716	1.0000000
61	CORUM:1064	GO:0065007	1.0000000
62	CORUM:1064	GO:0080134	1.0000000
63	CORUM:1064	GO:0098542	1.0000000
64	CORUM:1064	GO:1902531	1.0000000
65	CORUM:1064	GO:1902533	1.0000000
66	CORUM:1064	HPA:0300412	1.0000000
67	CORUM:1064	HPA:0310000	1.0000000
68	CORUM:1064	HPA:0310441	1.0000000
69	CORUM:1064	HPA:0310442	1.0000000
70	CORUM:1064	HPA:0530000	1.0000000
71	CORUM:1064	HPA:0530711	1.0000000
72	CORUM:1064	HPA:0530712	1.0000000
73	CORUM:1064	HPA:0530721	1.0000000
74	CORUM:1064	HPA:0530722	1.0000000
75	CORUM:1064	HPA:0600000	1.0000000
76	CORUM:1064	HPA:0600441	1.0000000
77	CORUM:1064	HPA:0600442	1.0000000
78	CORUM:1064	TF:M00772	1.0000000
79	CORUM:1064	TF:M08775	1.0000000
80	CORUM:1097	CORUM:742	1.0000000
81	CORUM:1097	GO:0005515	1.0000000
82	CORUM:1097	GO:0016020	0.6250000
83	CORUM:1097	GO:0016032	0.6250000
84	CORUM:1097	HPA:0040000	0.7500000
85	CORUM:1097	HPA:0040081	0.7500000
86	CORUM:1097	HPA:0160052	0.7500000
87	CORUM:1097	HPA:0300412	0.7500000
88	CORUM:1097	HPA:0310000	0.7500000
89	CORUM:1097	HPA:0310441	0.7500000
90	CORUM:1097	HPA:0310442	0.7500000
91	CORUM:1097	HPA:0530000	0.7500000
92	CORUM:1097	HPA:0530711	0.7500000
93	CORUM:1097	HPA:0530721	0.7500000
94	CORUM:1097	HPA:0530722	0.6250000
95	CORUM:1097	HPA:0600000	0.8750000
96	CORUM:1097	HPA:0600432	0.8750000
97	CORUM:1097	HPA:0600441	0.8750000
